"Date","Price","Open","High","Low","Vol.","Change %"
"06/05/2024","353.32","353.70","354.48","353.16","27.26K","-0.10%"
"06/04/2024","353.68","352.86","354.86","352.48","25.66K","0.23%"
"06/03/2024","352.87","356.09","356.15","351.91","28.17K","-0.87%"
"05/31/2024","355.99","356.50","357.58","355.91","20.27K","-0.12%"
"05/30/2024","356.41","356.69","357.94","356.11","16.48K","-0.09%"
"05/29/2024","356.74","357.21","358.38","356.29","16.93K","-0.14%"
"05/28/2024","357.23","357.31","357.91","356.88","17.18K","0.01%"
"05/27/2024","357.21","356.10","357.23","355.51","15.77K","0.33%"
"05/24/2024","356.05","356.43","358.47","355.76","11.75K","-0.12%"
"05/23/2024","356.48","357.78","357.99","356.36","9.41K","-0.44%"
"05/22/2024","358.06","357.51","358.20","357.50","11.24K","0.14%"
"05/21/2024","357.57","357.96","358.18","357.10","12.08K","-0.12%"
"05/20/2024","357.99","356.91","358.19","356.91","15.20K","0.34%"
"05/17/2024","356.79","356.72","357.08","355.55","10.19K","0.01%"
"05/16/2024","356.76","356.65","357.64","356.64","10.12K","0.06%"
"05/15/2024","356.55","357.18","357.37","356.47","10.00K","-0.18%"
"05/14/2024","357.18","356.74","357.61","356.74","11.22K","0.11%"
"05/13/2024","356.77","356.66","357.58","355.13","13.64K","-0.02%"
"05/10/2024","356.85","356.62","357.08","355.45","12.89K","0.11%"
"05/09/2024","356.48","353.93","356.59","353.93","13.64K","0.73%"
"05/08/2024","353.91","354.29","354.87","353.80","12.74K","-0.12%"
"05/07/2024","354.33","353.13","354.70","352.96","15.38K","0.35%"
"05/06/2024","353.09","351.24","353.10","351.24","12.97K","0.71%"
"04/30/2024","350.61","349.83","351.04","349.83","10.09K","0.27%"
"04/29/2024","349.68","348.98","349.87","348.78","12.71K","0.14%"
"04/26/2024","349.19","347.83","349.19","347.83","14.76K","0.42%"
"04/25/2024","347.73","347.30","348.09","346.90","9.37K","0.14%"
"04/24/2024","347.24","347.03","347.52","346.52","10.33K","0.12%"
"04/23/2024","346.84","347.14","347.48","346.38","9.18K","-0.11%"
"04/22/2024","347.23","348.15","348.91","346.98","10.25K","-0.31%"
"04/19/2024","348.31","348.69","349.41","347.82","12.09K","-0.16%"
"04/18/2024","348.86","347.86","349.64","347.47","16.29K","0.30%"
"04/17/2024","347.84","345.46","347.89","345.46","13.62K","0.72%"
"04/16/2024","345.36","347.10","347.42","345.21","12.84K","-0.53%"
"04/15/2024","347.18","347.54","348.16","346.47","13.38K","-0.14%"
"04/12/2024","347.66","347.21","348.29","347.21","10.77K","0.14%"
"04/11/2024","347.16","346.16","347.44","346.06","12.90K","0.23%"
"04/10/2024","346.37","346.56","346.74","345.93","12.05K","-0.05%"
